ID_Proyecto,Fecha_Inicio,Ciudad,Region,Sector,Tipo_Contrato,Responsable,Presupuesto_Aprobado,Costo_Real,Duracion_Planeada_dias,Duracion_Real_dias,Estado,Fuente_Financiacion,Nivel_Riesgo
PRJ024,2021-02-18,Santa Marta,Caribe,Tecnología,Contratación directa,Juan Pérez,4281,4364,197,184,Finalizado,Pública,Bajo
PRJ025,2025-03-04,Medellín,Andina,Infraestructura,Licitación pública,Ana Gómez,10724,12131,612,620,En ejecución,Pública,Medio
PRJ026,2023-07-01,Bogotá,Andina,Salud,Acuerdo marco,Ana Gómez,7172,8168,585,605,En ejecución,Mixta,Medio
PRJ027,2025-03-26,Cúcuta,Andina,Salud,Contratación directa,Mariana Torres,5479,5954,675,653,Finalizado,Pública,Medio
PRJ028,2022-07-08,Bogotá,Andina,Infraestructura,Acuerdo marco,Laura Martínez,10579,11228,640,623,Finalizado,Privada,Medio
PRJ029,2021-01-31,Medellín,Andina,Logística,Licitación pública,Andrés Castillo,12615,12887,703,719,En ejecución,Pública,Bajo
PRJ030,2025-09-01,Bogotá,Andina,Logística,Licitación pública,Juan Pérez,14565,15394,387,391,En ejecución,Privada,Medio
PRJ031,2022-07-10,Barranquilla,Caribe,Educación,Acuerdo marco,Carlos Ruiz,9287,9426,443,544,Suspendido,Privada,Alto
PRJ032,2019-10-25,Bogotá,Andina,Tecnología,Licitación pública,Ana Gómez,3746,3842,255,264,En ejecución,Privada,Bajo
PRJ033,2019-10-09,Barranquilla,Caribe,Educación,APP,Carlos Ruiz,8450,9088,661,695,En ejecución,Mixta,Medio
PRJ034,2025-03-21,Cartagena,Caribe,Infraestructura,Contratación directa,Mariana Torres,9753,11688,279,287,En ejecución,Pública,Alto
PRJ035,2025-10-13,Barranquilla,Caribe,Educación,Contratación directa,Andrés Castillo,6162,6444,377,460,Suspendido,Privada,Alto
PRJ036,2019-07-28,Medellín,Andina,Tecnología,APP,Ana Gómez,4732,5042,388,426,En ejecución,Pública,Medio
PRJ037,2023-12-15,Santa Marta,Caribe,Tecnología,Licitación pública,Ana Gómez,3221,3323,498,481,Finalizado,Pública,Bajo
PRJ038,2020-08-29,Pereira,Andina,Salud,Licitación pública,Mariana Torres,11521,13201,160,195,Suspendido,Mixta,Alto
PRJ039,2021-05-10,Barranquilla,Caribe,Infraestructura,APP,Laura Martínez,18168,21799,362,473,Suspendido,Mixta,Alto
PRJ040,2020-12-26,Pereira,Andina,Infraestructura,Contratación directa,Andrés Castillo,14745,17848,374,385,En ejecución,Mixta,Alto
PRJ041,2020-03-18,Pereira,Andina,Infraestructura,Acuerdo marco,Carlos Ruiz,15541,17404,353,358,En ejecución,Pública,Medio
PRJ042,2021-03-02,Pereira,Andina,Educación,APP,Ana Gómez,6876,7331,529,663,Suspendido,Mixta,Alto
PRJ043,2025-01-05,Bucaramanga,Andina,Infraestructura,Licitación pública,Mariana Torres,17512,21758,391,375,Finalizado,Pública,Alto
PRJ044,2025-09-09,Pereira,Andina,Educación,APP,Juan Pérez,8189,8085,710,785,En ejecución,Privada,Bajo
PRJ045,2019-07-01,Pereira,Andina,Infraestructura,Contratación directa,Mariana Torres,9146,11338,458,520,En ejecución,Mixta,Alto
PRJ046,2020-05-25,Cartagena,Caribe,Logística,APP,Andrés Castillo,11344,12165,422,513,Suspendido,Mixta,Alto
PRJ047,2021-02-24,Pereira,Andina,Tecnología,Contratación directa,Laura Martínez,4465,4513,120,109,Finalizado,Privada,Bajo
PRJ048,2021-05-10,Pereira,Andina,Logística,APP,Juan Pérez,13244,14854,643,766,En ejecución,Mixta,Medio
PRJ049,2020-11-26,Medellín,Andina,Educación,APP,Ana Gómez,9511,9668,323,353,En ejecución,Pública,Bajo
PRJ050,2019-07-09,Barranquilla,Caribe,Tecnología,Licitación pública,Juan Pérez,6715,6575,513,486,Finalizado,Mixta,Bajo
PRJ051,2021-09-26,Cali,Pacífica,Infraestructura,Licitación pública,Juan Pérez,10881,13174,650,708,En ejecución,Pública,Alto
PRJ052,2025-04-02,Barranquilla,Caribe,Infraestructura,Acuerdo marco,Carlos Ruiz,18937,21895,692,781,En ejecución,Mixta,Alto
PRJ053,2023-12-18,Villavicencio,Orinoquía,Logística,Acuerdo marco,Laura Martínez,8607,9759,606,657,En ejecución,Mixta,Medio
PRJ054,2021-10-09,Cartagena,Caribe,Logística,Acuerdo marco,Andrés Castillo,10499,11330,412,420,En ejecución,Pública,Medio
PRJ055,2022-10-07,Bucaramanga,Andina,Logística,Licitación pública,Carlos Ruiz,9788,10462,276,320,En ejecución,Pública,Medio
PRJ056,2019-09-21,Pereira,Andina,Tecnología,APP,Laura Martínez,5406,5186,550,641,En ejecución,Mixta,Bajo
PRJ057,2025-07-20,Bogotá,Andina,Logística,Acuerdo marco,Juan Pérez,11763,12395,519,625,Suspendido,Pública,Alto
PRJ058,2023-09-13,Santa Marta,Caribe,Logística,Contratación directa,Juan Pérez,10471,11292,149,158,En ejecución,Pública,Medio
PRJ059,2023-07-15,Cali,Pacífica,Tecnología,Contratación directa,Laura Martínez,2220,2411,697,684,Finalizado,Privada,Medio
PRJ060,2019-12-10,Pereira,Andina,Salud,Acuerdo marco,Carlos Ruiz,7131,7536,336,365,En ejecución,Pública,Medio
PRJ061,2022-10-14,Pereira,Andina,Educación,Acuerdo marco,Mariana Torres,7852,7639,672,648,Finalizado,Pública,Bajo
PRJ062,2022-12-04,Barranquilla,Caribe,Infraestructura,Licitación pública,Ana Gómez,11266,13720,276,281,En ejecución,Pública,Alto
PRJ063,2024-04-23,Medellín,Andina,Logística,Contratación directa,Juan Pérez,10198,11605,291,329,En ejecución,Privada,Medio
PRJ064,2020-04-14,Cali,Pacífica,Educación,Licitación pública,Laura Martínez,6555,6924,504,538,En ejecución,Pública,Medio
PRJ065,2021-03-23,Medellín,Andina,Logística,Contratación directa,Ana Gómez,10941,12615,243,288,En ejecución,Privada,Alto
PRJ066,2025-05-07,Bogotá,Andina,Educación,Acuerdo marco,Andrés Castillo,4564,4773,469,447,Finalizado,Mixta,Bajo
PRJ067,2023-09-17,Cúcuta,Andina,Infraestructura,Acuerdo marco,Mariana Torres,15532,18505,565,566,En ejecución,Privada,Alto
PRJ068,2024-11-07,Cartagena,Caribe,Logística,Acuerdo marco,Juan Pérez,10397,11000,371,444,En ejecución,Mixta,Medio
PRJ069,2019-12-21,Cartagena,Caribe,Tecnología,Contratación directa,Juan Pérez,6999,7350,464,397,Finalizado,Privada,Medio
PRJ070,2022-08-24,Cali,Pacífica,Tecnología,Contratación directa,Mariana Torres,4788,4749,402,386,Finalizado,Mixta,Bajo
PRJ071,2024-10-17,Barranquilla,Caribe,Infraestructura,Contratación directa,Andrés Castillo,16004,18581,366,423,En ejecución,Mixta,Alto
PRJ072,2024-07-03,Cúcuta,Andina,Infraestructura,Licitación pública,Mariana Torres,14625,17379,433,497,En ejecución,Pública,Alto
PRJ073,2023-02-20,Cúcuta,Andina,Logística,APP,Juan Pérez,11419,12142,584,660,En ejecución,Privada,Medio
PRJ074,2021-10-26,Barranquilla,Caribe,Infraestructura,Contratación directa,Mariana Torres,16779,20808,309,311,En ejecución,Pública,Alto
PRJ075,2024-06-06,Cartagena,Caribe,Logística,APP,Ana Gómez,10853,11297,303,345,En ejecución,Pública,Bajo
PRJ076,2024-12-27,Cali,Pacífica,Educación,Licitación pública,Ana Gómez,6393,6869,249,284,En ejecución,Privada,Medio
PRJ077,2024-07-03,Medellín,Andina,Infraestructura,APP,Juan Pérez,15216,17013,172,193,En ejecución,Mixta,Medio
PRJ078,2024-05-10,Medellín,Andina,Infraestructura,Acuerdo marco,Juan Pérez,17453,20522,174,173,Finalizado,Pública,Alto
PRJ079,2025-04-24,Cartagena,Caribe,Infraestructura,Contratación directa,Ana Gómez,14818,17355,351,415,En ejecución,Privada,Alto
PRJ080,2023-04-08,Cúcuta,Andina,Tecnología,APP,Laura Martínez,4501,4659,181,223,Suspendido,Mixta,Alto
PRJ081,2020-02-11,Barranquilla,Caribe,Salud,APP,Andrés Castillo,6286,6512,685,734,En ejecución,Pública,Bajo
PRJ082,2019-01-11,Pereira,Andina,Tecnología,Acuerdo marco,Mariana Torres,3896,3869,409,405,Finalizado,Pública,Bajo
PRJ083,2024-02-03,Medellín,Andina,Salud,APP,Andrés Castillo,10416,11672,322,379,En ejecución,Privada,Medio
PRJ084,2025-02-08,Barranquilla,Caribe,Salud,APP,Carlos Ruiz,5488,5624,434,533,Suspendido,Pública,Alto
PRJ085,2025-05-20,Cartagena,Caribe,Tecnología,Licitación pública,Juan Pérez,4491,4737,398,378,Finalizado,Privada,Medio
PRJ086,2024-07-15,Cúcuta,Andina,Infraestructura,Licitación pública,Juan Pérez,13280,15547,146,142,Finalizado,Privada,Alto
PRJ087,2025-06-14,Villavicencio,Orinoquía,Infraestructura,APP,Laura Martínez,10870,12436,572,757,Suspendido,Pública,Alto
PRJ088,2021-01-13,Villavicencio,Orinoquía,Tecnología,Acuerdo marco,Ana Gómez,4850,4904,448,440,Finalizado,Mixta,Bajo
PRJ089,2020-10-20,Bucaramanga,Andina,Tecnología,Acuerdo marco,Mariana Torres,5280,5660,683,585,Finalizado,Privada,Medio
PRJ090,2019-12-27,Bucaramanga,Andina,Educación,APP,Ana Gómez,8215,8985,121,150,Suspendido,Mixta,Alto
PRJ091,2025-01-31,Cúcuta,Andina,Tecnología,Licitación pública,Carlos Ruiz,4963,5178,630,614,Finalizado,Privada,Bajo
PRJ092,2019-07-31,Barranquilla,Caribe,Educación,Contratación directa,Mariana Torres,9720,10135,149,185,Suspendido,Mixta,Alto
PRJ093,2025-10-29,Barranquilla,Caribe,Salud,APP,Laura Martínez,9524,10106,350,471,Suspendido,Pública,Alto
PRJ094,2020-04-09,Cúcuta,Andina,Infraestructura,Contratación directa,Juan Pérez,12781,14720,399,428,En ejecución,Privada,Alto
PRJ095,2024-05-30,Cúcuta,Andina,Salud,Acuerdo marco,Laura Martínez,8142,8374,640,751,En ejecución,Pública,Bajo
PRJ096,2020-07-13,Medellín,Andina,Educación,Acuerdo marco,Mariana Torres,6188,6763,409,477,En ejecución,Privada,Medio
PRJ097,2025-08-01,Villavicencio,Orinoquía,Tecnología,Contratación directa,Juan Pérez,5967,5977,685,686,En ejecución,Privada,Bajo
PRJ098,2023-03-26,Cúcuta,Andina,Educación,Contratación directa,Andrés Castillo,8684,8922,540,520,Finalizado,Pública,Bajo
PRJ099,2024-04-21,Pereira,Andina,Tecnología,Contratación directa,Juan Pérez,3034,3110,459,469,En ejecución,Pública,Bajo
PRJ100,2023-12-09,Medellín,Andina,Logística,Acuerdo marco,Ana Gómez,8361,8978,278,270,Finalizado,Privada,Medio
PRJ101,2021-12-21,Bucaramanga,Andina,Logística,Acuerdo marco,Andrés Castillo,11383,13129,666,708,En ejecución,Pública,Alto
PRJ102,2022-07-21,Cúcuta,Andina,Logística,Licitación pública,Laura Martínez,9846,10964,414,517,Suspendido,Pública,Alto
PRJ103,2020-01-06,Pereira,Andina,Infraestructura,Licitación pública,Juan Pérez,19370,21498,149,143,Finalizado,Pública,Medio
PRJ104,2019-08-18,Cartagena,Caribe,Educación,APP,Juan Pérez,6000,6298,699,876,Suspendido,Pública,Alto
PRJ105,2021-01-07,Cali,Pacífica,Salud,Licitación pública,Laura Martínez,10076,11108,629,769,Suspendido,Mixta,Alto
PRJ106,2020-08-09,Barranquilla,Caribe,Tecnología,APP,Juan Pérez,2076,2252,596,786,Suspendido,Mixta,Alto
PRJ107,2025-02-16,Cali,Pacífica,Infraestructura,Acuerdo marco,Mariana Torres,12901,15194,554,641,En ejecución,Privada,Alto
PRJ108,2024-02-15,Cartagena,Caribe,Salud,Acuerdo marco,Juan Pérez,6943,7340,487,546,En ejecución,Pública,Medio
PRJ109,2022-04-24,Bogotá,Andina,Tecnología,APP,Ana Gómez,2401,2608,628,816,Suspendido,Privada,Alto
PRJ110,2022-03-18,Barranquilla,Caribe,Logística,APP,Carlos Ruiz,9115,10133,260,322,Suspendido,Privada,Alto
PRJ111,2019-06-11,Cartagena,Caribe,Tecnología,Licitación pública,Laura Martínez,3076,2963,422,386,Finalizado,Mixta,Bajo
PRJ112,2023-08-29,Cali,Pacífica,Salud,Contratación directa,Laura Martínez,9348,10051,399,478,En ejecución,Mixta,Medio
PRJ113,2021-11-18,Cúcuta,Andina,Educación,APP,Ana Gómez,4616,4574,351,459,Suspendido,Mixta,Alto
PRJ114,2023-06-16,Santa Marta,Caribe,Educación,Licitación pública,Juan Pérez,6166,6477,585,620,En ejecución,Pública,Medio
PRJ115,2021-12-09,Villavicencio,Orinoquía,Tecnología,APP,Ana Gómez,3915,3996,694,796,En ejecución,Privada,Bajo
PRJ116,2025-11-03,Barranquilla,Caribe,Infraestructura,Acuerdo marco,Andrés Castillo,18637,21090,263,253,Finalizado,Mixta,Medio
PRJ117,2019-06-02,Cartagena,Caribe,Tecnología,Licitación pública,Ana Gómez,6403,6213,584,539,Finalizado,Pública,Bajo
PRJ118,2025-01-21,Pereira,Andina,Logística,Contratación directa,Juan Pérez,7622,8765,537,661,Suspendido,Privada,Alto
PRJ119,2022-02-19,Bogotá,Andina,Educación,Contratación directa,Juan Pérez,5934,6517,221,274,Suspendido,Mixta,Alto
PRJ120,2023-02-13,Santa Marta,Caribe,Educación,Licitación pública,Juan Pérez,5554,6193,585,571,Finalizado,Mixta,Medio
PRJ121,2021-05-18,Villavicencio,Orinoquía,Infraestructura,Licitación pública,Mariana Torres,10063,12150,330,320,Finalizado,Pública,Alto
PRJ122,2025-03-20,Barranquilla,Caribe,Logística,Contratación directa,Carlos Ruiz,8417,9611,122,126,En ejecución,Mixta,Medio
PRJ123,2020-08-15,Cali,Pacífica,Logística,APP,Carlos Ruiz,6422,6574,486,625,Suspendido,Pública,Alto
PRJ124,2021-09-01,Villavicencio,Orinoquía,Educación,Licitación pública,Carlos Ruiz,4429,4380,551,610,En ejecución,Mixta,Bajo
PRJ125,2019-09-18,Cúcuta,Andina,Tecnología,APP,Laura Martínez,2893,2944,346,461,Suspendido,Privada,Alto
PRJ126,2019-06-27,Santa Marta,Caribe,Educación,Acuerdo marco,Andrés Castillo,4498,5036,531,572,En ejecución,Pública,Medio
PRJ127,2020-03-18,Cúcuta,Andina,Tecnología,Licitación pública,Ana Gómez,6983,6789,249,225,Finalizado,Mixta,Bajo
PRJ128,2025-07-25,Santa Marta,Caribe,Educación,Acuerdo marco,Laura Martínez,6415,6659,560,548,Finalizado,Privada,Bajo
PRJ129,2020-04-13,Santa Marta,Caribe,Salud,Acuerdo marco,Juan Pérez,8389,8815,584,624,En ejecución,Pública,Medio
PRJ130,2020-01-25,Bucaramanga,Andina,Tecnología,APP,Andrés Castillo,5066,5537,605,647,En ejecución,Mixta,Medio
PRJ131,2019-12-16,Medellín,Andina,Tecnología,Licitación pública,Andrés Castillo,5052,5414,689,593,Finalizado,Privada,Medio
PRJ132,2025-04-19,Santa Marta,Caribe,Educación,Licitación pública,Juan Pérez,9450,10500,553,669,Suspendido,Mixta,Alto
PRJ133,2019-07-30,Cartagena,Caribe,Logística,APP,Mariana Torres,14313,14861,613,684,En ejecución,Pública,Bajo
PRJ134,2020-03-19,Bucaramanga,Andina,Logística,APP,Ana Gómez,9705,11115,694,931,Suspendido,Mixta,Alto
PRJ135,2025-12-21,Villavicencio,Orinoquía,Logística,Licitación pública,Laura Martínez,10381,10435,399,463,En ejecución,Privada,Bajo
PRJ136,2022-06-19,Bucaramanga,Andina,Educación,Licitación pública,Carlos Ruiz,8639,9231,191,189,Finalizado,Pública,Medio
PRJ137,2019-05-06,Medellín,Andina,Logística,Contratación directa,Juan Pérez,13432,14256,498,519,En ejecución,Mixta,Medio
PRJ138,2022-08-21,Villavicencio,Orinoquía,Logística,Licitación pública,Ana Gómez,8579,9744,170,195,En ejecución,Pública,Medio
PRJ139,2022-01-19,Cúcuta,Andina,Tecnología,Acuerdo marco,Laura Martínez,5392,5343,644,562,Finalizado,Mixta,Bajo
PRJ140,2023-10-27,Medellín,Andina,Educación,Acuerdo marco,Laura Martínez,6526,6374,524,652,Suspendido,Privada,Alto
PRJ141,2019-08-13,Bogotá,Andina,Salud,APP,Carlos Ruiz,11260,11691,455,494,En ejecución,Pública,Bajo
PRJ142,2024-07-30,Pereira,Andina,Salud,Contratación directa,Juan Pérez,10764,11135,692,830,En ejecución,Privada,Bajo
PRJ143,2022-12-21,Medellín,Andina,Tecnología,Licitación pública,Juan Pérez,5766,6274,440,424,Finalizado,Pública,Medio
PRJ144,2025-06-06,Pereira,Andina,Tecnología,APP,Ana Gómez,2170,2375,295,380,Suspendido,Mixta,Alto
PRJ145,2025-12-06,Cúcuta,Andina,Educación,Licitación pública,Juan Pérez,5993,6204,530,586,En ejecución,Pública,Bajo
PRJ146,2023-06-10,Cartagena,Caribe,Educación,Contratación directa,Mariana Torres,4625,4840,236,261,En ejecución,Pública,Bajo
PRJ147,2021-03-05,Bucaramanga,Andina,Educación,Contratación directa,Carlos Ruiz,5199,5242,297,335,En ejecución,Pública,Bajo
PRJ148,2019-11-05,Cali,Pacífica,Tecnología,Acuerdo marco,Laura Martínez,5677,5973,698,683,Finalizado,Privada,Medio
PRJ149,2022-08-16,Bucaramanga,Andina,Salud,Acuerdo marco,Ana Gómez,8622,9438,401,452,En ejecución,Mixta,Medio
PRJ150,2022-12-12,Santa Marta,Caribe,Infraestructura,APP,Juan Pérez,8616,9144,413,443,En ejecución,Mixta,Medio
PRJ151,2020-01-05,Villavicencio,Orinoquía,Logística,Acuerdo marco,Juan Pérez,6672,7212,705,807,En ejecución,Privada,Medio
PRJ152,2022-08-09,Villavicencio,Orinoquía,Tecnología,Contratación directa,Ana Gómez,2847,3050,471,492,En ejecución,Mixta,Medio
PRJ153,2019-12-12,Santa Marta,Caribe,Salud,Licitación pública,Carlos Ruiz,8586,9862,656,726,En ejecución,Privada,Medio
PRJ154,2020-10-12,Bucaramanga,Andina,Educación,APP,Juan Pérez,6771,7257,173,222,Suspendido,Mixta,Alto
PRJ155,2022-10-02,Medellín,Andina,Educación,Licitación pública,Laura Martínez,7166,7256,273,286,En ejecución,Privada,Bajo
PRJ156,2025-07-14,Cali,Pacífica,Educación,APP,Andrés Castillo,9424,9695,206,235,En ejecución,Privada,Bajo
PRJ157,2023-03-23,Bucaramanga,Andina,Salud,Licitación pública,Andrés Castillo,8468,9113,138,146,En ejecución,Privada,Medio
PRJ158,2021-01-08,Barranquilla,Caribe,Educación,Acuerdo marco,Carlos Ruiz,5126,5091,422,507,Suspendido,Pública,Alto
PRJ159,2020-02-19,Santa Marta,Caribe,Logística,Licitación pública,Andrés Castillo,8147,9022,277,276,Finalizado,Mixta,Medio
PRJ160,2020-11-09,Cúcuta,Andina,Infraestructura,Acuerdo marco,Mariana Torres,19789,21718,574,650,En ejecución,Privada,Medio
PRJ161,2024-01-13,Barranquilla,Caribe,Logística,Contratación directa,Mariana Torres,9178,9785,704,876,Suspendido,Mixta,Alto
PRJ162,2024-03-06,Cartagena,Caribe,Tecnología,Acuerdo marco,Carlos Ruiz,6953,6749,376,323,Finalizado,Pública,Bajo
PRJ163,2024-05-22,Bucaramanga,Andina,Logística,Licitación pública,Andrés Castillo,8042,8454,284,293,En ejecución,Privada,Medio
PRJ164,2024-10-03,Cali,Pacífica,Tecnología,Licitación pública,Carlos Ruiz,4863,5298,544,468,Finalizado,Mixta,Medio
PRJ165,2024-08-18,Bucaramanga,Andina,Salud,Acuerdo marco,Ana Gómez,6839,6867,221,265,En ejecución,Mixta,Bajo
PRJ166,2022-10-05,Cali,Pacífica,Salud,Licitación pública,Mariana Torres,10702,12036,600,650,En ejecución,Mixta,Medio
PRJ167,2019-01-22,Medellín,Andina,Infraestructura,APP,Carlos Ruiz,16991,21035,660,776,En ejecución,Pública,Alto
PRJ168,2022-03-26,Barranquilla,Caribe,Educación,Licitación pública,Ana Gómez,7439,7928,588,569,Finalizado,Pública,Medio
PRJ169,2024-08-09,Villavicencio,Orinoquía,Logística,Licitación pública,Andrés Castillo,9963,11251,418,450,En ejecución,Privada,Medio
PRJ170,2025-11-23,Bucaramanga,Andina,Salud,Acuerdo marco,Carlos Ruiz,10474,10608,489,474,Finalizado,Privada,Bajo
PRJ171,2024-11-24,Santa Marta,Caribe,Logística,Licitación pública,Juan Pérez,6713,7481,502,515,En ejecución,Mixta,Medio
PRJ172,2019-03-08,Bucaramanga,Andina,Infraestructura,APP,Carlos Ruiz,18765,22061,715,908,Suspendido,Privada,Alto
PRJ173,2022-09-23,Cali,Pacífica,Infraestructura,APP,Laura Martínez,18531,20106,595,799,Suspendido,Mixta,Alto
PRJ174,2024-05-14,Cali,Pacífica,Salud,Licitación pública,Andrés Castillo,5302,5535,164,194,En ejecución,Mixta,Bajo
PRJ175,2019-06-21,Bucaramanga,Andina,Educación,Acuerdo marco,Laura Martínez,6075,5926,315,326,En ejecución,Mixta,Bajo
PRJ176,2019-07-15,Bucaramanga,Andina,Educación,Licitación pública,Mariana Torres,7276,7868,515,541,En ejecución,Mixta,Medio
PRJ177,2021-02-04,Cúcuta,Andina,Tecnología,APP,Laura Martínez,2676,2834,200,235,En ejecución,Mixta,Medio
PRJ178,2021-01-09,Santa Marta,Caribe,Educación,APP,Ana Gómez,6686,7148,433,512,En ejecución,Pública,Medio
PRJ179,2023-10-12,Cali,Pacífica,Tecnología,APP,Juan Pérez,4888,5094,565,639,En ejecución,Pública,Bajo
PRJ180,2019-08-23,Medellín,Andina,Tecnología,APP,Laura Martínez,3310,3617,266,347,Suspendido,Privada,Alto
PRJ181,2023-11-30,Bogotá,Andina,Salud,Licitación pública,Carlos Ruiz,8000,8434,700,671,Finalizado,Privada,Medio
PRJ182,2020-09-20,Cúcuta,Andina,Educación,APP,Juan Pérez,8701,8619,495,578,En ejecución,Pública,Bajo
PRJ183,2022-02-15,Barranquilla,Caribe,Infraestructura,Licitación pública,Andrés Castillo,16176,18659,695,684,Finalizado,Pública,Alto
PRJ184,2021-12-02,Cúcuta,Andina,Salud,APP,Andrés Castillo,6639,6761,195,231,En ejecución,Mixta,Bajo
PRJ185,2023-12-29,Medellín,Andina,Educación,APP,Andrés Castillo,8505,8941,427,557,Suspendido,Pública,Alto
PRJ186,2020-12-14,Bucaramanga,Andina,Logística,Contratación directa,Ana Gómez,8275,8627,625,598,Finalizado,Pública,Bajo
PRJ187,2025-03-19,Villavicencio,Orinoquía,Educación,Acuerdo marco,Laura Martínez,9013,9938,187,195,En ejecución,Pública,Medio
PRJ188,2024-05-14,Santa Marta,Caribe,Tecnología,Acuerdo marco,Laura Martínez,3026,3316,195,183,Finalizado,Pública,Medio
PRJ189,2024-10-20,Bucaramanga,Andina,Salud,Contratación directa,Carlos Ruiz,9119,10364,176,211,En ejecución,Mixta,Medio
PRJ190,2024-10-23,Cali,Pacífica,Educación,Contratación directa,Carlos Ruiz,9810,9847,651,793,Suspendido,Mixta,Alto
PRJ191,2019-11-20,Cartagena,Caribe,Salud,APP,Carlos Ruiz,7480,8169,215,258,En ejecución,Privada,Medio
PRJ192,2020-11-21,Villavicencio,Orinoquía,Logística,Contratación directa,Carlos Ruiz,11531,13279,697,670,Finalizado,Privada,Alto
PRJ193,2019-04-27,Medellín,Andina,Infraestructura,APP,Andrés Castillo,17373,19689,151,181,En ejecución,Pública,Medio
PRJ194,2025-02-12,Cartagena,Caribe,Educación,Acuerdo marco,Carlos Ruiz,7326,7433,194,224,En ejecución,Privada,Bajo
PRJ195,2020-10-09,Cúcuta,Andina,Tecnología,Acuerdo marco,Juan Pérez,4786,4982,440,449,En ejecución,Pública,Bajo
PRJ196,2022-07-31,Bucaramanga,Andina,Tecnología,Contratación directa,Mariana Torres,6601,6376,367,346,Finalizado,Privada,Bajo
PRJ197,2021-12-31,Cúcuta,Andina,Salud,Contratación directa,Ana Gómez,7377,8423,548,561,En ejecución,Pública,Medio
PRJ198,2020-10-16,Bucaramanga,Andina,Logística,APP,Carlos Ruiz,14163,16702,598,717,En ejecución,Pública,Alto
PRJ199,2022-06-17,Cúcuta,Andina,Infraestructura,Licitación pública,Juan Pérez,15491,19260,340,382,En ejecución,Privada,Alto
PRJ200,2019-07-19,Bogotá,Andina,Educación,Acuerdo marco,Laura Martínez,9509,9894,669,637,Finalizado,Privada,Bajo
